// BackpropagationAlgorithm 2-15-3
// EpochCount = 6000;
// UseBias = true;
// LearningRate = 0.1D;
// ActivationFunction = Registry.ActivationFunctions.Logistic(1);
// RandomizeInitialWeights = true;
//                   ERROR: 1.71% (12/700)
f1,f2,_class,_value,_training
2.1159,1.1626,Green,1,1
2.3029,1.0657,Green,1,1
1.7195,1.0562,Green,1,1
2.1763,0.9749,Green,1,1
1.6326,0.9423,Green,1,1
2.4447,0.8978,Green,1,1
2.2258,0.7637,Green,1,1
2.0662,1.0727,Green,1,1
2.3779,1.0497,Green,1,1
2.0868,1.0375,Green,1,1
2.0184,0.8357,Green,1,1
1.7323,0.9601,Green,1,1
2.1367,1.2519,Green,1,1
1.9311,0.9825,Green,1,1
1.9763,1.0691,Green,1,1
2.0087,1.3663,Green,1,1
1.8807,0.9291,Green,1,1
1.5964,0.8939,Green,1,1
1.898,0.9195,Green,1,1
1.8684,1.3201,Green,1,1
2.4749,0.9523,Green,1,1
1.9575,1.0526,Green,1,1
2.1517,1.1097,Green,1,1
2.1681,1.0844,Green,1,1
2.1128,0.7455,Green,1,1
1.7899,1.0918,Green,1,1
2.117,0.8995,Green,1,1
2.1803,1.2602,Green,1,1
2.1957,1.1866,Green,1,1
1.7258,0.9795,Green,1,1
2.0922,0.6055,Green,1,1
2.4042,0.9253,Green,1,1
2.0903,1.0837,Green,1,1
2.1441,1.1298,Green,1,1
2.067,0.9686,Green,1,1
2.0582,1.4172,Green,1,1
1.8068,0.7539,Green,1,1
2.1228,0.8937,Green,1,1
2.1913,1.2963,Green,1,1
2.039,1.128,Green,1,1
2.0557,0.8732,Green,1,1
2.025,1.1029,Green,1,1
1.9937,0.7632,Green,1,1
2.3653,1.1437,Green,1,1
1.7365,1.1134,Green,1,1
1.7912,1.196,Green,1,1
1.5248,1.0957,Green,1,1
1.6375,1.0109,Green,1,1
2.0098,0.8626,Green,1,1
1.6371,0.9935,Green,1,1
2.2138,1.0698,Green,1,1
1.9069,1.057,Green,1,1
1.9697,1.134,Green,1,1
1.8529,1.0795,Green,1,1
2.0787,1.2254,Green,1,1
2.3604,1.1358,Green,1,1
1.9111,0.9143,Green,1,1
2.1251,0.7142,Green,1,1
1.9702,0.9839,Green,1,1
2.235,1.0467,Green,1,1
2.4399,1.0493,Green,1,1
2.0092,0.756,Green,1,1
2.2223,1.101,Green,1,1
2.426,1.2987,Green,1,1
1.9653,0.9238,Green,1,1
1.4249,0.7162,Green,1,1
1.9135,0.8881,Green,1,1
1.5908,0.623,Green,1,1
1.9532,0.9892,Green,1,1
2.1096,0.8968,Green,1,1
2.0023,1.1109,Green,1,1
2.179,0.7416,Green,1,1
2.0884,1.0166,Green,1,1
2.2213,0.8571,Green,1,1
1.9872,1.0765,Green,1,1
1.922,0.8828,Green,1,1
2.2026,1.0236,Green,1,1
2.2992,1.0147,Green,1,1
1.9483,0.9583,Green,1,1
1.9769,1.5385,Green,1,1
1.7796,0.8247,Green,1,1
1.8616,1.1524,Green,1,1
1.8033,1.0603,Green,1,1
2.1493,1.3919,Green,1,1
2.0645,1.12,Green,1,1
2.1564,0.747,Green,1,1
1.6561,0.962,Green,1,1
1.9699,1.0383,Green,1,1
1.9723,1.4529,Green,1,1
1.7091,0.7886,Green,1,1
1.8858,1.0907,Green,1,1
2.0574,0.9018,Green,1,1
2.2037,1.0855,Green,1,1
2.0857,0.6964,Green,1,1
2.0326,1.0348,Green,1,1
1.9772,1.1762,Green,1,1
2.2781,0.9635,Green,1,1
1.8674,1.2313,Green,1,1
1.8123,1.3779,Green,1,1
