f1,f2,_class,_value,_training
0.0195,0.5557,Green,0,1
0.623,1.3053,Green,0,0
-0.5856,-0.637,Green,0,0
-0.8511,-1.1726,Green,0,0
0.8052,-0.0381,Green,0,0
-1.6284,-0.9512,Green,0,0
-0.6674,-2.1364,Green,0,1
1.2953,-1.1598,Green,0,0
0.5176,-0.7411,Green,0,0
0.2482,-1.37,Green,0,0
-1.5698,-0.8563,Green,0,0
-1.7398,-1.1448,Green,0,0
-1.19,0.7679,Green,0,1
0.6111,1.128,Green,0,0
-0.141,0.4594,Green,0,0
-0.3058,-0.9184,Green,0,0
-0.8036,0.4796,Green,0,0
-0.3758,-0.9103,Green,0,0
2.011,1.0264,Green,0,1
0.3813,0.9105,Green,0,0
0.2686,0.0709,Green,0,0
1.0312,-1.3855,Green,0,0
-0.4973,0.0012,Green,0,0
0.9071,-0.1378,Green,0,0
-0.315,-0.8987,Green,0,1
0.5007,-1.3485,Green,0,0
1.0782,2.7129,Green,0,0
2.1982,2.0772,Green,0,0
-0.1153,-0.0882,Green,0,0
-0.819,0.7962,Green,0,0
-0.3089,0.0239,Green,0,1
0.3041,1.4624,Green,0,0
3.0098,-1.0052,Green,0,1
1.6905,-2.182,Green,0,0
-0.4885,-1.2896,Green,0,0
-1.1058,1.9828,Green,0,0
0.4001,0.5517,Green,0,1
-0.3615,-0.4904,Green,0,0
-0.6863,-1.1567,Green,0,0
1.2829,2.463,Green,0,0
-0.1166,-0.7302,Green,0,0
3.0008,0.5006,Green,0,1
-1.8937,-0.0709,Green,0,1
-0.0438,0.7894,Green,0,0
1.4885,-0.6719,Green,0,0
0.1281,0.1788,Green,0,0
0.1427,-1.3619,Green,0,0
-0.4118,1.3711,Green,0,0
-2.1366,-0.3966,Green,0,1
0.491,-0.0749,Green,0,0
-0.3399,-2.2258,Green,0,0
-0.9947,0.4645,Green,0,0
-0.3693,-0.5151,Green,0,0
-0.2112,-0.0796,Green,0,0
1.7543,-0.9988,Green,0,1
-0.0238,-1.1418,Green,0,0
1.5219,0.1631,Green,0,0
0.1344,1.2357,Green,0,0
-0.221,0.5964,Green,0,0
0.8429,-0.6133,Green,0,0
-3.1999,1.2851,Green,0,1
-0.017,0.6544,Green,0,0
1.4637,-0.4001,Green,0,0
-0.8592,-2.107,Green,0,0
-0.3532,-0.4817,Green,0,0
1.6698,-1.0103,Green,0,0
-1.1322,0.0142,Green,0,1
-0.9038,0.3485,Green,0,0
-0.0076,-0.0774,Green,0,0
-0.4134,0.7336,Green,0,0
-0.528,0.5959,Green,0,0
-0.8419,0.1119,Green,0,0
-1.0015,-0.8593,Green,0,1
2.051,0.5533,Green,0,0
-1.0944,0.3601,Green,0,0
-1.5429,1.497,Green,0,0
0.7049,0.2506,Green,0,0
0.4995,0.8423,Green,0,0
